,0,1
0,A,MTD
1,A,TER
2,A,TSLA
3,AAPL,LOW
4,AAPL,MPWR
5,ABBV,JNPR
6,ABBV,MET
7,ABBV,RJF
8,ABBV,STLD
9,ABNB,JNJ
10,ABNB,SYY
11,ABNB,VICI
12,ABT,NSC
13,ABT,RMD
14,ABT,STE
15,ABT,TDY
16,ABT,TER
17,ABT,UNP
18,ABT,ZTS
19,ACGL,OMC
20,ACGL,PCAR
21,ACGL,WBD
22,ACN,J
23,ACN,LH
24,ACN,LOW
25,ACN,SHW
26,ACN,TEL
27,ACN,UNP
28,ADI,LIN
29,ADI,LOW
30,ADI,MCD
31,ADI,MPWR
32,ADI,ODFL
33,ADI,ROL
34,ADI,WM
35,ADI,WTW
36,ADM,SJM
37,ADP,KO
38,ADP,SRE
39,ADP,WM
40,ADSK,TTWO
41,AEE,JKHY
42,AEP,LHX
43,AFL,JNPR
44,AIZ,QCOM
45,AIZ,STX
46,AJG,PARA
47,ALGN,KMX
48,ALGN,ZBH
49,ALL,PEG
50,ALL,PKG
51,AMAT,LEN
52,AMAT,MLM
53,AMAT,MPWR
54,AMAT,NXPI
55,AMAT,VMC
56,AME,LIN
57,AME,LOW
58,AME,MPWR
59,AMGN,LDOS
60,AMGN,LIN
61,AMGN,LMT
62,AMGN,MAS
63,AMGN,MPWR
64,AMGN,MSFT
65,AMGN,PARA
66,AMGN,ROL
67,AMGN,SNPS
68,AMGN,SRE
69,AMGN,WBA
70,AMGN,WM
71,AMP,JNPR
72,AMP,PANW
73,AMP,TRV
74,AMP,VMC
75,ANET,UHS
76,ANSS,ZTS
77,AON,KO
78,AON,LOW
79,AON,MCD
80,AON,PARA
81,AON,PAYX
82,AON,SRE
83,AON,UNH
84,AOS,LYB
85,AOS,MGM
86,APA,VZ
87,APA,ZBH
88,APD,KMB
89,APD,SBUX
90,APD,TDY
91,APH,JNPR
92,APH,MPWR
93,APH,PGR
94,APH,PKG
95,APH,URI
96,APH,VMC
97,APO,MSI
98,APO,ORCL
99,APO,PGR
100,APO,PH
101,APTV,ZBH
102,ARE,ZBH
103,AVGO,PPL
104,AVGO,UHS
105,AVY,LH
106,AXON,SW
107,AXP,MSI
108,AXP,PEG
109,AXP,TRV
110,AZO,PARA
111,BAC,PNC
112,BAC,SW
113,BAC,WAT
114,BALL,ZBH
115,BBY,TTWO
116,BDX,JKHY
117,BDX,SYY
118,BDX,VTRS
119,BG,LYB
120,BIIB,PPL
121,BK,VTR
122,BKNG,LII
123,BLDR,JNPR
124,BLDR,LLY
125,BLDR,MCK
126,BLDR,PANW
127,BR,ROST
128,BR,SYK
