,pair,residuals,beta
0,"('A', 'MTD')","0       -27.827557
1       -29.102378
2       -36.932115
3       -33.224308
4       -35.943037
           ...    
2511   -138.671676
2512   -131.443946
2513   -118.078169
2514   -103.839179
2515   -101.887059
Length: 2516, dtype: float64","const   -29.789757
A        10.116825
dtype: float64"
1,"('A', 'TER')","0        1.069766
1        1.376809
2        1.295671
3        1.433371
4        0.878365
          ...    
2511   -13.361711
2512   -15.240488
2513   -13.108311
2514   -13.095714
2515   -11.563805
Length: 2516, dtype: float64","const   -18.762659
A         0.976204
dtype: float64"
2,"('A', 'TSLA')","0        35.187631
1        35.908898
2        34.331740
3        34.907424
4        32.605627
           ...    
2511    127.664922
2512    114.205682
2513    126.840427
2514    110.347914
2515    105.452603
Length: 2516, dtype: float64","const   -114.226373
A          2.581583
dtype: float64"
3,"('AAPL', 'LOW')","0       -6.036862
1       -7.002810
2       -6.827901
3       -7.727410
4       -7.437204
          ...    
2511   -10.381794
2512    -6.125948
2513   -10.069552
2514    -8.507579
2515    -9.839525
Length: 2516, dtype: float64","const    40.156400
AAPL      0.975701
dtype: float64"
4,"('AAPL', 'MPWR')","0      -10.303191
1      -11.642558
2      -11.730095
3      -13.428532
4      -13.980202
          ...    
2511   -95.757628
2512   -78.447621
2513   -66.464707
2514   -67.814973
2515   -72.445658
Length: 2516, dtype: float64","const   -31.877288
AAPL      3.241546
dtype: float64"
5,"('ABBV', 'JNPR')","0      -0.724683
1      -0.840110
2      -0.966186
3      -0.818792
4      -0.563700
          ...   
2511   -0.316366
2512   -1.274691
2513   -0.193731
2514    0.037714
2515   -0.427316
Length: 2516, dtype: float64","const    14.890651
ABBV      0.110308
dtype: float64"
6,"('ABBV', 'MET')","0       2.264671
1       2.534191
2       2.539642
3       2.823230
4       2.696089
          ...   
2511    9.696038
2512    6.676402
2513    6.422485
2514    6.213793
2515    3.272939
Length: 2516, dtype: float64","const    17.139270
ABBV      0.321496
dtype: float64"
7,"('ABBV', 'RJF')","0        1.007194
1        1.185502
2        0.937090
3        1.174006
4        1.552664
          ...    
2511    33.793190
2512    26.889028
2513    25.723127
2514    25.412702
2515    25.192887
Length: 2516, dtype: float64","const    4.891179
ABBV     0.705795
dtype: float64"
8,"('ABBV', 'STLD')","0       4.427702
1       5.311284
2       4.513304
3       4.659785
4       4.998189
          ...   
2511   -0.571720
2512   -5.880250
2513   -7.267136
2514   -5.677675
2515   -9.211610
Length: 2516, dtype: float64","const   -19.424766
ABBV      0.805854
dtype: float64"
9,"('ABNB', 'JNJ')","1472   -16.871112
1473   -16.894118
1474   -21.462698
1475   -20.739472
1476   -19.976662
          ...    
2511    -2.464062
2512    -2.909255
2513    -1.175153
2514    -0.110638
2515    -0.818158
Length: 1044, dtype: float64","const    170.202885
ABNB      -0.118844
dtype: float64"
10,"('ABNB', 'SYY')","1472   -3.520487
1473   -4.878936
1474   -7.311301
1475   -6.653046
1476   -6.705574
          ...   
2511   -0.257057
2512   -0.902188
2513   -1.787921
2514   -1.816734
2515   -2.014981
Length: 1044, dtype: float64","const    76.492278
ABNB     -0.025274
dtype: float64"
11,"('ABNB', 'VICI')","1472   -6.549087
1473   -6.721698
1474   -7.531633
1475   -7.276938
1476   -6.480329
          ...   
2511    1.877510
2512    1.808470
2513    1.879964
2514    1.926940
2515    2.074164
Length: 1044, dtype: float64","const    36.294891
ABNB     -0.064057
dtype: float64"
12,"('ABT', 'NSC')","0        1.164781
1        3.020495
2        2.820292
3        3.213809
4        3.493873
          ...    
2511   -19.341222
2512   -25.409104
2513   -24.168997
2514   -30.771602
2515   -26.230684
Length: 2516, dtype: float64","const    6.998753
ABT      2.092101
dtype: float64"
13,"('ABT', 'RMD')","0        1.247231
1        2.541230
2        2.520172
3        3.667245
4        3.451318
          ...    
2511   -19.833426
2512   -16.621449
2513   -18.159016
2514   -22.630925
2515   -22.268573
Length: 2516, dtype: float64","const   -28.886815
ABT       2.227001
dtype: float64"
14,"('ABT', 'STE')","0       -3.588285
1       -3.152857
2       -3.413525
3       -3.671356
4       -4.133950
          ...    
2511   -23.842689
2512   -27.195065
2513   -27.438068
2514   -31.941621
2515   -23.537630
Length: 2516, dtype: float64","const   -11.954172
ABT       2.004587
dtype: float64"
15,"('ABT', 'TDY')","0      -19.476435
1      -17.594623
2      -18.975333
3      -16.720421
4      -17.905929
          ...    
2511     9.955579
2512     3.922443
2513     8.138422
2514    -3.392614
2515     3.499829
Length: 2516, dtype: float64","const   -40.646050
ABT       4.236852
dtype: float64"
16,"('ABT', 'TER')","0       -0.523594
1        0.562936
2        0.619952
3        0.441254
4        0.196103
          ...    
2511   -19.406968
2512   -24.780540
2513   -25.042514
2514   -27.936676
2515   -23.975915
Length: 2516, dtype: float64","const   -30.514556
ABT       1.295330
dtype: float64"
17,"('ABT', 'UNP')","0       15.383601
1       14.992522
2       15.517509
3       16.518037
4       17.426954
          ...    
2511    -1.153943
2512    -6.884748
2513    -7.605797
2514   -12.095082
2515    -7.494472
Length: 2516, dtype: float64","const    12.563159
ABT       1.847735
dtype: float64"
18,"('ABT', 'ZTS')","0       -6.525072
1       -5.804165
2       -5.431841
3       -3.718864
4       -4.130780
          ...    
2511   -38.409049
2512   -38.302980
2513   -39.170425
2514   -41.056724
2515   -36.983766
Length: 2516, dtype: float64","const   -20.459585
ABT       1.796050
dtype: float64"
19,"('ACGL', 'OMC')","0       0.110565
1       0.826152
2       0.287672
3       0.617269
4       1.330485
          ...   
2511   -5.603929
2512   -4.649594
2513   -5.337250
2514   -7.458705
2515   -8.829993
Length: 2516, dtype: float64","const    43.787820
ACGL      0.522253
dtype: float64"
20,"('ACGL', 'PCAR')","0        2.666623
1        2.929053
2        2.750330
3        2.730380
4        3.122956
          ...    
2511    10.547378
2512     8.767173
2513     8.449447
2514     6.667449
2515     6.536277
Length: 2516, dtype: float64","const    6.623636
ACGL     1.006866
dtype: float64"
21,"('ACGL', 'WBD')","0      -0.181685
1      -0.064118
2       0.778225
3       0.530748
4       0.219059
          ...   
2511    2.184080
2512    1.912927
2513    1.715615
2514    1.931131
2515    1.876263
Length: 2516, dtype: float64","const    35.700700
ACGL     -0.294883
dtype: float64"
22,"('ACN', 'J')","0       1.011804
1       1.651135
2       1.620415
3       1.865532
4       2.019819
          ...   
2511    3.664820
2512    2.226191
2513   -4.748863
2514   -8.728920
2515   -4.424405
Length: 2516, dtype: float64","const    5.242296
ACN      0.340883
dtype: float64"
23,"('ACN', 'LH')","0      -1.117538
1      -2.056393
2      -0.654647
3       0.273080
4      -0.108670
          ...   
2511   -0.056857
2512   -2.125238
2513   -6.480514
2514   -6.434417
2515   -4.377276
Length: 2516, dtype: float64","const    59.767708
ACN       0.493802
dtype: float64"
24,"('ACN', 'LOW')","0       17.754578
1       17.431901
2       18.013147
3       17.475236
4       17.436463
          ...    
2511    -0.419952
2512    -4.142780
2513    -7.920352
2514   -11.342651
2515    -5.337290
Length: 2516, dtype: float64","const   -10.240960
ACN       0.703211
dtype: float64"
